A,B,result
Communications protocol,Foundations of mathematics,1
Formal verification,Stochastic process,0
Time complexity,Stochastic process,0
P versus NP problem,Polynomial,1
Bayesian,Algorithm design,0
Query optimization,Object (computer science),1
Index (database),Formal grammar,0
Gradient descent,Mathematical induction,1
Mutual exclusion,Encryption,0
Perl,Hidden Markov model,0
Lexical analysis,Very long instruction word,0
NP-complete,Communications protocol,0
Logic programming,Denotational semantics,0
Neural network,Algorithm design,1
Data (computing),Computer simulation,0
Fourier analysis,Image,0
Index (database),Computer science,1
Mechanical engineering,Graph (mathematics),0
String searching algorithm,JavaScript,0
Time complexity,Compiler optimization,0
Turing machine,Automata theory,1
Malware,Authentication,1
Formal language,Computer science,1
Knowledge representation and reasoning,Algorithm design,1
Software design,Computational science,1
Recursion,Abstraction (computer science),1
Mathematical optimization,Foundations of mathematics,1
Machine learning,Computation,1
Programming style,Computer programming,1
Performance tuning,World Wide Web,0
File system,Computer programming,1
Linear algebra,Foundations of mathematics,1
Superscalar,Stack (data structure),0
Robot,Numerical analysis,1
Server (computing),Amortized analysis,0
Pipeline (computing),Pattern recognition,0
Formal methods,Graph coloring,0
Pattern matching,Data (computing),1
PageRank,Telecommunications network,0
Hidden line removal,Computability,1
Computation,Computability,0
Distributed computing,Finite element method,0
Personal computer,Haskell (programming language),0
Data warehouse,Data type,1
Application programming interface,Computer programming,1
Functional programming,Computer science,1
Data structure,Least squares,0
Fixed point (mathematics),Sequence alignment,0
Machine learning,Probability,1
Program analysis,Number theory,1
Boundary value problem,Modular arithmetic,0
Scheduling (computing),Operating system,1
Model checking,Pattern recognition,0
Spanning tree,Computer vision,0
Geometry,Matrix (mathematics),1
Statistics,Data,1
Graphical user interface,Discrete mathematics,1
P versus NP problem,Computer,1
3D modeling,Computing,1
Boundary value problem,Genetic algorithm,0
Graph (mathematics),Digital electronics,0
Digital signature,Assembly language,0
Programmer,Computer,1
Data type,Server (computing),0
Divide and conquer algorithm,Functional programming,0
Application software,Approximation algorithm,0
Virtual memory,Computer architecture,1
Internet,Wavelet,0
Graphics,Index (database),0
Query optimization,Algorithm design,1
Recursion,Control flow,1
Multi-core processor,Thread (computer science),1
Shared memory,Boundary value problem,0
Lexical semantics,Social network,0
Programming style,Computer,1
Volume rendering,Software development,0
Visualization (computer graphics),Uncertainty,0
hypothesis testing,Reinforcement learning,0
NP-complete,Abstraction (computer science),1
Haskell (programming language),Recursion,1
Database design,Database,1
Programming paradigm,Computational science,1
Linear programming,Polynomial,1
String (computer science),Logic,1
Concurrent computing,Complexity,0
Computer vision,Computer programming,1
Social network,Computational problem,0
Neural network,Input/output,0
Monte Carlo method,Logic,1
Algebra,Communications protocol,0
Deadlock,Virtual memory,0
Cryptographic hash function,Computer security,1
Time complexity,Number theory,1
Neural network,Algorithm,1
Mathematical model,C (programming language),0
Lazy evaluation,Programming language,1
Web search engine,Computation,1
Computer simulation,Graph theory,1
Instruction set,Very long instruction word,0
PageRank,Image processing,0
Artificial intelligence,Graph (mathematics),1
Lexical analysis,Graph theory,1
Uncertainty,Inference,0
Packet switching,Database management system,0
Asymptotic analysis,Kernel (computing),0
Garbage collection (computer science),Number theory,1
Finite element method,Matrix (mathematics),1
Encryption,Scalability,0
Neural network,Data structure,1
Virtual reality,Geometry,1
Abstraction (computer science),Computer,1
Public-key cryptography,Integer,1
Genetic algorithm,Discrete mathematics,1
Public-key cryptography,Data,0
Automata theory,Randomized algorithm,0
Document classification,Logic,1
Software design,Data structure,1
Pushdown automata,Logic,1
Imperative programming,Software development,0
Boundary value problem,Numerical analysis,1
Graph (mathematics),Algebra,1
Algorithm,Mathematical induction,1
Recursion (computer science),Sparse matrix,0
NP-complete,Theory of computation,1
Machine learning,Problem solving,1
Computational geometry,Turing machine,1
Database management system,Algorithm design,1
Machine learning,Markov chain,1
User interface,Computational science,1
Poisson distribution,Introduction to Algorithms,0
Query optimization,Programming language,1
Relational model,Decision theory,0
Model checking,Semantics,0
String (computer science),Programmer,0
Parallel algorithm,Lock (computer science),1
MapReduce,Central processing unit,1
Finite difference,Mathematics,1
Structured programming,Programming language,1
Analysis of algorithms,Algorithm design,1
Image,Database normalization,0
Computability,Calculus of variations,0
Software engineering,Computation,1
Automated planning and scheduling,Artificial intelligence,1
GPU,Algorithm,1
MATLAB,Suffix tree,0
Speech recognition,Machine learning,1
Hidden Markov model,Artificial intelligence,1
Java (programming language),Scope (computer science),1
Game theory,Algorithm,1
Scheduling (computing),Computer programming,1
Parsing,Data type,1
Database transaction,Firewall (computing),0
Functional programming,Computer graphics,0
Game theory,Uncertainty,0
Automated planning and scheduling,Integral,0
Combinatorics,3D modeling,0
Parallel algorithm,Continuous function,0
Computer vision,Asymptotic analysis,1
Cryptography,Stack (data structure),0
Suffix tree,String searching algorithm,1
Finite element method,Integer,1
Concurrency (computer science),Multi-core processor,0
Assembly language,Arithmetic,1
Numerical analysis,Computation,1
Signal processing,hypothesis testing,0
Concurrency (computer science),Visualization (computer graphics),0
Virtual reality,Computer,1
Feature extraction,Mathematical induction,1
Eigenvalues and eigenvectors,Information assurance,0
Stochastic process,Mathematics,1
Malware,Information security,1
Abstraction (computer science),Arithmetic,1
Ordinary differential equation,Linear programming,0
High-level programming language,Concurrency (computer science),0
Context-free grammar,String (computer science),1
Cloud computing,Floating point,0
Randomized algorithm,Randomization,1
Neural network,Computer science,1
Mathematical optimization,Distributed algorithms,0
Quantum computer,Scalability,0
3D modeling,Polynomial,1
Imperative programming,P versus NP problem,0
Dynamic programming,Introduction to Algorithms,1
Question answering,Congestion control,0
ML (programming language),Recursion (computer science),1
Concurrency (computer science),Computing,1
Geometric modeling,Computing,1
Cryptanalysis,Theoretical computer science,1
Theory of computation,Logic,1
Integral,Symbol table,0
Partial differential equation,Time complexity,0
Integral,Support vector machine,0
Logic programming,Distributed algorithms,0
Software development,Social network,0
Ray tracing (graphics),Computer science,1
Machine learning,Theoretical computer science,1
Computational problem,Computer,1
Visualization (computer graphics),Data,1
File system,Central processing unit,1
Lexical analysis,Graphical user interface,0
Mathematical model,High-level programming language,0
Linked list,Discrete mathematics,1
MATLAB,Performance tuning,0
Computational learning theory,Control flow,0
Parallel algorithm,Number theory,1
Graphics,Semantics of programming languages,0
OSI model,Differential equation,0
Graphical model,Computer,1
Server (computing),Authentication,0
Graph coloring,Computer science,1
Mutual exclusion,Programming paradigm,0
Lexical semantics,B-tree,0
Computer simulation,Predicate logic,0
Scientific visualization,Computer,1
Natural language,JavaScript,0
Fast Fourier transform,Computational science,0
String searching algorithm,Logic,1
ML (programming language),Computer science,1
Reinforcement learning,Algorithm,1
Machine learning,Computational complexity theory,1
P versus NP problem,Mathematics,1
Fast Fourier transform,Mathematical induction,1
Microprocessor,Fast Fourier transform,0
Random walk,Random variable,1
Sequence alignment,Structured programming,0
Software engineering,Algorithm design,1
Bioinformatics,Mathematics,1
Relational database,Discrete mathematics,1
PSPACE,Algorithm design,1
Software development,Differential equation,0
Feature extraction,Abstraction (computer science),1
Linear system,Inheritance (object-oriented programming),0
"Best, worst and average case",Logic,1
Stochastic process,Probability,1
Divide and conquer algorithm,Regular language,0
Randomized algorithm,Integer,1
Public-key cryptography,Problem solving,1
Motion capture,Flow network,0
Computer science,Communications protocol,0
Query optimization,Operating system,1
Expert system,Support vector machine,0
Computational geometry,Matrix (mathematics),0
Cryptographic hash function,Information security,1
Computer animation,Computer science,1
Computational geometry,Personal computer,1
List of undecidable problems,World Wide Web,0
Digital signature,Mathematics,1
Unsupervised learning,Scope (computer science),0
Parametric polymorphism,Data type,1
Concurrency control,Matrix (mathematics),0
Imperative programming,Mathematics,1
Relational database,Computer programming,1
Linked list,Number theory,1
Inheritance (object-oriented programming),Database management system,0
Polymorphism (computer science),Automata theory,1
Turing machine,Halting problem,0
Calculus,Performance tuning,0
Computational learning theory,Support vector machine,0
SQL,Algorithm,1
Distributed computing,Input/output,1
Machine learning,Social network,0
Haskell (programming language),Computing,1
Digital signature,Logic,1
Gradient descent,Mathematical model,1
Atomicity (database systems),Approximation algorithm,0
Computer programming,Integer,1
Image analysis,Computer science,1
Halting problem,Database normalization,0
Design pattern (computer science),Asymptotic analysis,0
Robotics,Geometry,0
Query language,Computer programming,1
Coding theory,Computer,1
Sequence alignment,Graphics,0
Social network,Software development,0
Matrix (mathematics),Graphical model,0
Communications protocol,Computability,1
Scope (computer science),Computer programming,1
Software design,Cryptography,0
Artificial intelligence,Number theory,1
Parsing,Algorithm,1
Software development,Object (computer science),1
Machine learning,Logic,1
Lock (computer science),Index (database),0
Communications protocol,Genetic algorithm,0
Cloud computing,Fourier analysis,0
Automated theorem proving,Pattern matching,0
Monte Carlo method,Mathematical induction,1
Artificial intelligence,Automata theory,1
Rendering (computer graphics),Robot,0
Quantum cryptography,Computer security,1
Web browser,Numerical analysis,0
Algorithm design,Software framework,0
OSI model,Data,1
Recurrence relation,Python (programming language),0
Programming style,Arithmetic,1
Ordinary differential equation,Algorithm,1
Parallel algorithm,Mathematical induction,1
Relational database,Probability theory,1
Abstraction (computer science),Syntax,0
Quantum cryptography,Interactivity,0
System programming,Computer science,1
Programming paradigm,Computability,1
Computational geometry,Discrete mathematics,1
Very long instruction word,Recursion (computer science),0
Pattern matching,Recursion (computer science),1
Linked list,Geometric modeling,0
Internet Protocol Suite,Data,1
Algorithm,Mathematical proof,1
Synchronization,Java (programming language),0
Object-oriented programming,Data type,1
Signal processing,Unsupervised learning,0
Human-computer interaction,Algorithm,0
NP-complete,Computer science,1
Compiler,Natural language,1
Python (programming language),Data structure,1
Geometric modeling,Discrete mathematics,1
Parallel computing,Computation,1
Routing,Array data structure,0
Vector processor,Computer programming,1
Computer vision,Data structure,1
Context-free language,Genetic algorithm,0
Interaction design,MATLAB,0
Lazy evaluation,Authentication,0
Undecidable problem,Lazy evaluation,0
Query optimization,Data (computing),1
Relational database,Database,1
3D computer graphics,Mathematics,1
Mathematical optimization,Information security,0
Logic,Encryption,0
Functional programming,P versus NP problem,0
Cluster analysis,Fast Fourier transform,0
Algorithm design,Computing,1
Computability,Discrete mathematics,1
Relational database,Combinatorics,1
Higher-order function,Hash table,0
Database management system,Discrete mathematics,1
Motion capture,Fixed point (mathematics),0
Hash table,Relational model,0
List of undecidable problems,Computer network,0
Parsing,Polynomial,1
Geometric modeling,Algorithm,1
Inequality (mathematics),Mathematics,1
Cryptographic hash function,Number theory,1
Logic programming,Database,0
Signal processing,Information theory,0
Authentication,Nonlinear system,0
Structured programming,Computational complexity theory,0
Web search engine,Polynomial,1
Human-computer interaction,Web server,0
Computational geometry,Randomness,0
Divide and conquer algorithm,Polynomial,1
Part-of-speech tagging,Natural language,1
Reason,ML (programming language),0
Control flow,Kernel (computing),0
Time complexity,Automata theory,1
Sentiment analysis,Computer programming,1
Software testing,Computational complexity theory,1
Computer graphics,Quantum mechanics,0
Authentication,Information security,1
Computational geometry,Unix,0
Computational complexity theory,Linear system,0
Artificial intelligence,Integer,1
Programming language,Mathematics,1
Computer simulation,Visualization (computer graphics),0
Software framework,Gradient descent,0
Autonomous robot,Computation,1
Mobile device,Program optimization,0
Multi-core processor,Parallel computing,1
Debugging,Computing,1
Parsing,Theory of computation,1
Program optimization,Formal language,0
Hidden Markov model,Random variable,1
Spanning tree,Deadlock,0
Calculus of variations,Database normalization,0
Prolog,Programming language,1
Input/output,Monte Carlo method,0
Computational chemistry,Mathematical optimization,0
Document classification,Statistical inference,1
Monad (functional programming),Computer science,1
Turing machine,Formal methods,0
Digital signature,Mathematical induction,1
Network security,Graph (mathematics),1
Gradient descent,Arithmetic,1
PageRank,Mathematical optimization,0
Fast Fourier transform,Graph (mathematics),0
Network security,Authentication,0
Mechanical engineering,Computational problem,0
Program optimization,Integer,1
Divide and conquer algorithm,Algorithm,1
Cryptography,Context-free grammar,0
Routing,Database system,0
Data mining,Discrete mathematics,1
Autonomous robot,Computer science,1
Shortest path problem,Digital electronics,0
Robotics,Computer programming,1
Data analysis,Superscalar,0
Sentiment analysis,Shading,0
Autonomous robot,P versus NP problem,0
Image,Sentiment analysis,0
Finite-state machine,Central processing unit,0
Nonlinear system,Type system,0
Least squares,Message passing,0
Cryptanalysis,Computer security,1
P versus NP problem,NP-complete,0
Inter-process communication,Data,1
Data mining,Computing,1
Object-oriented programming,Logic,1
Finite difference,Fixed point (mathematics),0
Traffic analysis,Computer security,1
Data type,Context-free language,0
Natural language processing,Graph (mathematics),1
Cloud computing,Communications protocol,1
Correlation and dependence,Random variable,1
Data structure,Computer,1
Formal methods,Computational science,1
Array data structure,hypothesis testing,0
Parallel computing,Computer programming,1
Newton's method,Polynomial,1
Computer graphics,Computational complexity theory,1
Round-off error,String searching algorithm,0
Prolog,Data structure,1
Randomized algorithm,Conditional probability,1
Relational database,Computing,1
Foundations of mathematics,Computer vision,0
Automatic programming,Logic,1
Computer,Syntax,0
Recommender system,Computer,1
Sentiment analysis,Natural language,1
Knowledge representation and reasoning,Theoretical computer science,1
Concurrency control,Computational science,1
Model of computation,Foundations of mathematics,1
Halting problem,Queue (data structure),0
Operating system,Digital electronics,1
Parallel computing,Computing,1
OSI model,Computer,1
Theory of computation,Graph theory,1
Polynomial,Stochastic,0
Time complexity,Automated planning and scheduling,0
String searching algorithm,Abstraction (computer science),1
Logic programming,Arithmetic,1
Analysis of algorithms,Introduction to Algorithms,1
Fixed point (mathematics),Vector processor,0
Theoretical computer science,Unsupervised learning,0
Algorithm,Database design,0
Bayesian network,Information assurance,0
Computational geometry,Least squares,0
Prediction,Computability,0
Scalability,Java (programming language),1
Automated planning and scheduling,Structured programming,0
Graphical user interface,Graph theory,1
Mathematical proof,Robot,0
Malware,Computer,1
Scheduling (computing),Run time (program lifecycle phase),0
Game theory,Mathematics,1
Data structure,Procedural programming,0
Imperative programming,Algorithm design,0
Symmetric multiprocessing,Syntax,0
Correlation and dependence,Abstract data type,0
Genetic algorithm,Memory hierarchy,0
Data mining,Data structure,1
Computational chemistry,Halting problem,0
System call,Hidden Markov model,0
Formal verification,Recommender system,0
Input/output,Computer,1
Computer network,Discrete mathematics,1
Programming language,Computability,1
Data structure,hypothesis testing,0
Lazy evaluation,Computer,1
Bayesian network,Programming language,0
GPU,Personal computer,1
Divide and conquer algorithm,Discrete mathematics,1
Expert system,Computational complexity theory,1
Analysis of algorithms,Turing machine,1
Software development,Computer programming,1
Information theory,Algebra,1
Debugging,Arithmetic,1
Estimation theory,Dynamic memory allocation,0
PageRank,Cryptographic hash function,0
Computational geometry,Unsupervised learning,0
Data type,Mathematics,1
Robotics,Programming language,1
Bayesian network,Probability,0
Polymorphism (computer science),Computational complexity theory,0
Question answering,Scientific modelling,0
Compiler optimization,Syntax,1
Recursively enumerable set,Iterative method,1
Iterative method,Document classification,0
Personal computer,Feature extraction,0
Query optimization,SQL,1
Web browser,Computer,1
Cloud computing,Formal verification,0
Coding theory,Discrete mathematics,1
Programming paradigm,Automata theory,1
Profiling (computer programming),Query language,0
Instruction set,Halting problem,0
Calculus of variations,Computational chemistry,0
Graphical user interface,Expected value,0
Concurrency control,Pattern recognition,0
Complexity,Foundations of mathematics,1
Model checking,Imperative programming,0
ML (programming language),Computer animation,0
Algorithm design,Mathematical induction,1
Transaction processing,Algorithm design,1
Signal processing,Processor register,0
Decision theory,Statistics,0
Relational database,Mathematics,1
Database design,Automated planning and scheduling,0
Network security,Security,1
Semantics of programming languages,Discrete mathematics,0
Shared memory,Cryptography,0
Expected value,User interface design,0
Data type,String searching algorithm,0
Scientific visualization,Linear programming,0
Theoretical computer science,Foundations of mathematics,1
Relational database,Relational algebra,1
Virtual memory,Computer programming,1
Continuous function,Compiler,0
Operating system,Interactivity,0
High-level programming language,Discrete mathematics,1
Martingale (probability theory),Python (programming language),0
User interface,Computing,1
Time complexity,Finite-state machine,1
Ray tracing (graphics),Linear system,0
"Best, worst and average case",Foundations of mathematics,1
NP-complete,Logic,1
PageRank,Computational chemistry,0
Unsupervised learning,Cryptanalysis,0
Software testing,Computability,1
Signal processing,Wireless sensor network,0
Parallel algorithm,Problem solving,1
Robotics,Iterative method,0
ML (programming language),Virtual reality,0
Cryptanalysis,Modular arithmetic,1
Shared memory,Combinatorics,0
Least squares,Approximation,1
Martingale (probability theory),Mathematics,1
Functional programming,Array data structure,0
Poisson distribution,"Best, worst and average case",0
C++,Inter-process communication,0
OSI model,Randomized algorithm,0
Bioinformatics,Computer,1
Numerical analysis,Shared memory,0
Program optimization,Processor register,0
Image,Imperative programming,0
Linear programming,Integer,1
String searching algorithm,Algorithm,1
Combinational logic,File system,0
Relational database,Data (computing),1
Linear algebra,Image,0
Algorithm design,Polynomial,1
User interface design,Arithmetic,1
Web service,Context-free grammar,0
Database system,Message passing,0
Dynamic programming,Algorithm design,1
Software framework,Scope (computer science),1
Sentiment analysis,Natural language processing,1
Question answering,Reason,1
Relational model,Computer science,1
Randomized algorithm,Iterative method,1
Garbage collection (computer science),Dynamic memory allocation,0
Unix,Computer,1
Automated planning and scheduling,Numerical analysis,1
Assembly language,Foundations of mathematics,1
Software development,Debugging,1
Fixed point (mathematics),Approximation,0
Traffic analysis,Information assurance,0
Graph theory,Robotics,0
Firewall (computing),Genetic algorithm,0
Large deviations theory,Mathematics,1
Pattern recognition,Query optimization,0
Memory hierarchy,Iterative method,0
Exponential family,Algebra,1
Complexity class,Computational problem,1
Automatic programming,Discrete mathematics,1
3D modeling,Computability,1
Natural language processing,Natural language,1
Spanning tree,Semantics of programming languages,0
Design pattern (computer science),Statistics,0
Python (programming language),Structured programming,1
Knowledge representation and reasoning,Mathematical induction,1
Debugging,Performance tuning,0
High-level programming language,Number theory,1
Cache coherence,Parallel computing,1
Part-of-speech tagging,Array data structure,0
Knowledge representation and reasoning,Halting problem,0
Automata theory,Social network,0
Computational learning theory,Wavelet,0
Big data,Graph (mathematics),0
Relational algebra,Entropy,0
Recursively enumerable set,Turing machine,0
Semidefinite programming,Approximation algorithm,1
Shared memory,Mathematical optimization,0
Computing,Operating system,0
Natural language processing,Reason,1
Approximation algorithm,Logic,1
Shared memory,Atomicity (database systems),0
Halting problem,B-tree,0
Message passing,Virtual memory,0
Finite element method,Stack (data structure),0
Graphical user interface,3D computer graphics,0
Artificial intelligence,Theory of computation,1
Python (programming language),Assembly language,0
Formal language,Computational science,0
Computability,Graph theory,1
Data mining,Lisp (programming language),0
Program optimization,Polymorphism (computer science),0
Hidden Markov model,Algorithm design,1
List of undecidable problems,Hash table,0
Computer architecture,Number theory,1
Lisp (programming language),Data mining,0
Partial differential equation,Mathematics,1
Database,Computer science,1
Combinatorics,Cryptography,0
Packet switching,Partial differential equation,0
Shared memory,Formal grammar,0
Distributed computing,Data,1
Suffix tree,Formal verification,0
Pattern matching,Functional programming,1
Numerical analysis,Problem solving,1
ML (programming language),Bayesian network,0
Numerical analysis,Eigenvalues and eigenvectors,1
Cluster analysis,Data analysis,0
Recursion (computer science),Computer science,1
Complexity,Computation,1
User interface design,Central processing unit,0
Distributed computing,Memory hierarchy,0
Interaction design,Finite element method,0
Motion capture,Index (database),0
Quantum computer,Graph theory,1
Ray tracing (graphics),Shading,1
First-order logic,Computation,0
Geometric modeling,Mathematics,1
Stochastic process,Probability theory,1
Recursively enumerable set,Abstraction (computer science),1
Parsing,Complexity,0
Information theory,Random variable,1
Volume rendering,Mathematics,1
Semidefinite programming,Computer science,1
Kalman filter,Linear algebra,0
Graph coloring,Computational science,1
Pattern matching,Recursion,1
Conditional probability,Prediction,0
Question answering,B-tree,0
Formal methods,Analysis of algorithms,1
Randomized algorithm,Algorithm,1
Scientific visualization,Geometry,1
Time complexity,Computation,1
Semidefinite programming,Logic programming,0
Higher-order function,Problem solving,0
Random variable,Asymptotic analysis,0
Number theory,Algorithm design,0
Computational geometry,Theoretical computer science,1
Recursion (computer science),Integer,1
Instruction set,Computer science,1
Cryptography,Inheritance (object-oriented programming),0
Expert system,Reason,1
Computer security,Vector processor,0
Integral,Mathematics,1
Cryptography,Computation,1
Superscalar,NP-complete,0
Recursively enumerable set,Index (database),0
Motion planning,Denotational semantics,0
Imperative programming,Arithmetic logic unit,0
Parametric polymorphism,Logic,0
Memory management,Operating system,1
Boundary value problem,Mathematics,1
Machine translation,Computability,1
Pattern matching,Generic programming,1
PageRank,Volume rendering,0
Cache coherence,Computer science,1
Automated planning and scheduling,Logic,1
Spanning tree,Amortized analysis,0
Modular arithmetic,Discrete mathematics,1
Numerical analysis,Matrix (mathematics),1
Concurrency control,Probability theory,1
Ray tracing (graphics),Algorithm design,1
Cryptographic hash function,Mathematics,1
Assembly language,Number theory,1
Fast Fourier transform,Computer science,1
Scientific visualization,Computer simulation,0
PSPACE,Concurrency (computer science),0
Imperative programming,Graph theory,1
3D modeling,Random variable,0
Query optimization,Analysis of algorithms,1
Data type,First-order logic,0
Index (database),Logic,1
Profiling (computer programming),Computational science,1
Image processing,Unsupervised learning,0
Unsupervised learning,Artificial intelligence,1
Microprocessor,Programming style,0
Estimation theory,Expected value,1
Python (programming language),Algorithm,1
First-order logic,Support vector machine,0
Formal methods,Computer,1
Generic programming,Communications protocol,0
Computer programming,Foundations of mathematics,1
Recursion (computer science),Computability,1
Bioinformatics,Graph theory,1
Scope (computer science),Computing,1
Artificial intelligence,Abstraction (computer science),1
Linked list,Graph theory,1
Congestion control,Mathematics,0
Memory management,Formal grammar,0
Complexity,3D computer graphics,0
Complexity class,MapReduce,0
Probability theory,Foundations of mathematics,1
Game theory,Cryptanalysis,0
Data,Combinational logic,0
Firewall (computing),Debugging,0
Concurrent computing,Program optimization,0
Knowledge representation and reasoning,Gradient descent,0
Memory management,Economics,0
Pushdown automata,Program optimization,0
Personal computer,User interface design,0
Estimation theory,Probability,1
Telecommunications network,Scope (computer science),0
Computer graphics,Foundations of mathematics,1
Knowledge representation and reasoning,Integer,1
Human-computer interaction,Least squares,0
Algebra,Index (database),0
Natural language processing,Numerical analysis,1
Computer architecture,Discrete mathematics,1
Computational complexity theory,Algorithm design,1
Monad (functional programming),Gradient descent,0
Recursion,Iterative method,1
Java (programming language),Programming language,1
Concurrency (computer science),Motion planning,0
Pattern matching,String (computer science),1
Parametric polymorphism,Programming language,1
Time complexity,Mathematical induction,1
Virtual reality,Computer graphics,1
Iterative method,Approximation,1
Interpolation,Eigenvalues and eigenvectors,1
Cryptographic hash function,Algorithm,1
Software engineering,Logic,1
Formal methods,Introduction to Algorithms,1
Artificial intelligence,Database design,0
Calculus of variations,Formal language,0
Volume rendering,Economics,0
ML (programming language),Knowledge representation and reasoning,0
Debugging,Turing machine,0
Correlation and dependence,Kinematics,0
Complexity class,Algorithm,1
HTML,Floating point,0
Calculus,Algebra,1
Amortized analysis,Amortized analysis,0
Quantum cryptography,Python (programming language),0
Operating system,Computer,1
Partial differential equation,Floating point,1
Decision theory,Theoretical computer science,1
Geometric modeling,Logic,1
Software testing,Data structure,1
Discrete mathematics,String searching algorithm,0
Reinforcement learning,Numerical analysis,1
Monte Carlo method,Computability,1
Linear programming,Perl,0
Random walk,Graph theory,1
Regular language,Theory of computation,1
Feature extraction,Theoretical computer science,1
Quantum mechanics,Uncertainty,1
Imperative programming,Foundations of mathematics,1
Automated planning and scheduling,Algorithm,1
Personal computer,Kernel (computing),0
Symmetric multiprocessing,Interface (computing),0
Scope (computer science),Computational problem,0
System programming,Inference,0
Computational geometry,Problem solving,1
Stochastic process,Signal processing,0
Cache coherence,Shared memory,1
Formal language,Fixed point (mathematics),0
Transaction processing,Operating system,1
Graphical model,Mathematics,1
PSPACE,Computational problem,1
Context-free grammar,Data structure,1
Halting problem,Computation,1
Run time (program lifecycle phase),Graph theory,1
Computer,Signal processing,0
Computer graphics,Algorithm design,1
Inequality (mathematics),Integer,1
Computer network,Graph theory,1
First-order logic,Denotational semantics,0
Design of experiments,Statistical inference,1
Eigenvalues and eigenvectors,Foundations of mathematics,0
Database,Algorithm design,1
Artificial intelligence,Partial differential equation,0
Concurrency (computer science),Machine translation,0
Theoretical computer science,Interpolation,0
Least squares,Polynomial,1
Denotational semantics,Inequality (mathematics),0
Computational geometry,Approximation,0
Iterative method,B-tree,0
Peer-to-peer,Web browser,0
Polymorphism (computer science),Computer,1
Computer graphics,Personal computer,1
Introduction to Algorithms,Scalability,0
Stochastic process,Performance tuning,0
Motion planning,Robot,1
Linear programming,Computation,1
Robot,Computer science,1
Thread (computer science),Computational problem,0
Concurrency control,Mathematical induction,1
Variable (computer science),Computational science,1
Document classification,Number theory,1
Web service,Memory hierarchy,0
Software testing,Software design,1
Run time (program lifecycle phase),Number theory,1
SQL,Algorithm design,1
Probability,Natural language processing,0
Semidefinite programming,Memory management,0
Computer network,Debugging,0
Variable (computer science),Computing,1
Least squares,Graphical user interface,0
Exponential family,Mathematics,1
Complexity class,Polynomial,1
Volume rendering,Graphics,1
Data structure,Data,1
Computational complexity theory,Combinatorics,1
Scalability,Sequence alignment,0
Abstraction (computer science),Algorithm,1
Compiler optimization,Instruction set,1
Distributed computing,Algorithm,1
Deadlock,Random variable,0
Artificial intelligence,Computation,1
Data mining,Compiler,0
Undecidable problem,Algorithm design,1
Complexity class,Discrete mathematics,1
Inter-process communication,Computer programming,1
Geometric modeling,Iterative method,1
Asymptotic analysis,Scripting language,0
Algorithm design,Computer programming,1
Security,Shading,0
3D modeling,Iterative method,1
Database design,Computer science,1
Least squares,Mathematical optimization,0
Model checking,Computability,1
Server (computing),Syntax,0
Analysis of algorithms,Abstraction (computer science),1
First-order logic,Modular programming,0
Recommender system,Probability,1
Compiler,Number theory,1
Fast Fourier transform,Higher-order function,0
ML (programming language),Computer programming,1
Firewall (computing),Sufficient statistic,0
Compiler,Mathematics,1
Program optimization,Theoretical computer science,1
System programming,Computational complexity theory,1
Programming language,Computational science,1
High-level programming language,Sparse matrix,0
Document classification,Design pattern (computer science),0
Unsupervised learning,Stochastic,0
Syntax,Congestion control,0
Atomicity (database systems),Reinforcement learning,0
Approximation,Poisson distribution,0
Algorithm design,Computation,1
Design pattern (computer science),Suffix tree,0
Amortized analysis,Foundations of mathematics,1
Spanning tree,Computational science,1
Higher-order function,OSI model,0
Queue (data structure),Python (programming language),0
Mathematics,Foundations of mathematics,1
Procedural programming,Randomness,0
Game theory,Tensor,0
Inequality (mathematics),Computer architecture,0
Feature extraction,Transaction processing,0
Software framework,Syntax,0
Memory management,Eigenvalues and eigenvectors,0
Regular language,Mathematics,0
Gradient descent,Natural language processing,0
Quantum mechanics,Mathematics,1
File system,Computation,1
Machine learning,Statistical inference,1
Logic programming,Estimation theory,0
Randomness,Markov chain,0
Motion planning,Mathematics,0
Lexical analysis,Automated planning and scheduling,0
Motion planning,Analysis of algorithms,1
Query language,Large deviations theory,0
Malware,Communications protocol,1
Parallel computing,Foundations of mathematics,1
Scheduling (computing),Computation,1
Multi-core processor,Programming style,0
Randomized algorithm,Computing,1
Relational database,Database management system,1
Virtual memory,Tensor,0
P versus NP problem,Graph theory,1
Automatic programming,Integer,0
Interactivity,Computer,1
Microcode,Natural language,0
Linear programming,Mathematics,1
Data structure,Graph theory,1
Cloud computing,Computer science,1
Graph theory,Algebra,1
Perl,Digital electronics,1
3D modeling,Algorithm,1
Profiling (computer programming),Dynamic memory allocation,0
Context-free grammar,Application software,0
Natural language processing,Expected value,1
Functional programming,Arithmetic,1
User interface,Data structure,1
Cluster analysis,Computer simulation,0
Control flow,Computer,1
Machine translation,Computation,1
Software engineering,Web service,0
Analysis of algorithms,Data structure,1
User interface,Computer science,1
Part-of-speech tagging,Microprocessor,0
Lock (computer science),MATLAB,0
Hidden line removal,Mathematical induction,1
Semidefinite programming,Linear programming,1
Reinforcement learning,Probability,1
Relational model,Object (computer science),1
Recurrence relation,Formal methods,0
Boundary value problem,Ordinary differential equation,1
Concurrency (computer science),Computer programming,1
Mathematical optimization,Linear algebra,1
